Time,Account,Type,Details
2025-12-21 04:12:22.561846+00:00,N/A,Privilege Escalation,
2025-12-21 04:14:18.910429+00:00,N/A,Privilege Escalation,
2025-12-21 04:19:21.025372+00:00,N/A,Privilege Escalation,
2025-12-21 04:19:22.235132+00:00,N/A,Privilege Escalation,
2025-12-21 04:19:23.198809+00:00,N/A,Privilege Escalation,
2025-12-21 04:19:35.177717+00:00,N/A,Privilege Escalation,
2025-12-21 04:19:40.271458+00:00,N/A,Privilege Escalation,
2025-12-21 04:24:40.685434+00:00,N/A,Privilege Escalation,
2025-12-21 04:34:35.348608+00:00,N/A,Privilege Escalation,
2025-12-21 04:36:44.268553+00:00,N/A,Privilege Escalation,
2025-12-21 04:36:55.756950+00:00,N/A,Privilege Escalation,
2025-12-21 04:39:23.200830+00:00,N/A,Privilege Escalation,
2025-12-21 04:42:50.353596+00:00,N/A,Privilege Escalation,
2025-12-21 04:43:23.672962+00:00,N/A,Privilege Escalation,
2025-12-21 04:49:35.470676+00:00,N/A,Privilege Escalation,
2025-12-21 04:57:19.913084+00:00,N/A,Privilege Escalation,
2025-12-21 05:01:23.897232+00:00,N/A,Privilege Escalation,
2025-12-21 05:04:25.198269+00:00,N/A,Privilege Escalation,
2025-12-21 05:04:35.588146+00:00,N/A,Privilege Escalation,
2025-12-21 05:06:27.311787+00:00,N/A,Privilege Escalation,
2025-12-21 05:06:28.102802+00:00,N/A,Privilege Escalation,
2025-12-21 05:07:23.102127+00:00,N/A,Privilege Escalation,
2025-12-21 05:12:27.261221+00:00,N/A,Privilege Escalation,
2025-12-21 05:14:18.984550+00:00,N/A,Privilege Escalation,
2025-12-21 05:17:50.357689+00:00,N/A,Privilege Escalation,
2025-12-21 05:18:33.079657+00:00,N/A,Privilege Escalation,
2025-12-21 05:19:16.126785+00:00,N/A,Privilege Escalation,
2025-12-21 05:19:35.665276+00:00,N/A,Privilege Escalation,
2025-12-21 05:23:24.313440+00:00,N/A,Privilege Escalation,
2025-12-21 05:25:27.376329+00:00,N/A,Privilege Escalation,
2025-12-21 05:29:27.851400+00:00,N/A,Privilege Escalation,
2025-12-21 05:34:35.763884+00:00,N/A,Privilege Escalation,
2025-12-21 05:35:48.855331+00:00,N/A,Privilege Escalation,
2025-12-21 05:39:49.430576+00:00,N/A,Privilege Escalation,
2025-12-21 05:47:50.364960+00:00,N/A,Privilege Escalation,
2025-12-21 05:49:35.866467+00:00,N/A,Privilege Escalation,
2025-12-21 06:04:21.650690+00:00,N/A,Privilege Escalation,
2025-12-21 06:04:21.833981+00:00,N/A,Privilege Escalation,
2025-12-21 06:04:30.407625+00:00,N/A,Privilege Escalation,
2025-12-21 06:04:35.977041+00:00,N/A,Privilege Escalation,
2025-12-21 06:06:32.688974+00:00,N/A,Privilege Escalation,
2025-12-21 06:06:33.499166+00:00,N/A,Privilege Escalation,
2025-12-21 06:12:32.665680+00:00,N/A,Privilege Escalation,
2025-12-21 06:14:19.457294+00:00,N/A,Privilege Escalation,
2025-12-21 06:19:36.081081+00:00,N/A,Privilege Escalation,
2025-12-21 06:26:37.182896+00:00,N/A,Privilege Escalation,
2025-12-21 06:30:38.431711+00:00,N/A,Privilege Escalation,
2025-12-21 06:32:39.654978+00:00,N/A,Privilege Escalation,
2025-12-21 06:34:36.192490+00:00,N/A,Privilege Escalation,
2025-12-21 06:36:39.798412+00:00,N/A,Privilege Escalation,
2025-12-21 06:44:08.476780+00:00,N/A,Privilege Escalation,
2025-12-21 06:44:08.561195+00:00,N/A,Privilege Escalation,
2025-12-21 06:44:11.852634+00:00,N/A,Privilege Escalation,
2025-12-21 06:47:49.778681+00:00,N/A,Privilege Escalation,
2025-12-21 06:47:51.260483+00:00,N/A,Privilege Escalation,
2025-12-21 07:03:37.441755+00:00,N/A,Privilege Escalation,
